t,lat,lon,alt,v1,v2,v3,a1,a2,a3
1821.15434648864,39.6149766081294,3.49243742139418,413324.835556814,-3236.24116614233,5610.46759300803,3505.11767748781,-5.82327198288045,0.0665973164069711,-5.51152687236877
1825,39.7624036702629,3.7368296460312,413362.653352463,-3258.60478566454,5610.67728945598,3483.88928309698,-5.807305197255,0.042458644957727,-5.52865690467985
1830,39.9532005421777,4.056238970797,413411.78139108,-3287.58911897532,5610.81109701069,3456.1906367669,-5.78640347154681,0.0110606197202138,-5.55077198250833
1835,40.1429876975452,4.37753530797768,413460.85583184,-3316.46855950163,5610.78786765468,3428.38185968418,-5.76534161200601,-0.0203521145032987,-5.57270909080368
1840,40.3317528847947,4.70073144844848,413509.869444209,-3345.24227535148,5610.6075494084,3400.46384342322,-5.74412029889849,-0.051778680906774,-5.5944675389917
1845,40.5194837394831,5.02584052869833,413558.815018601,-3373.90948742257,5610.27006549992,3372.43748300924,-5.72274021408749,-0.0832182476664201,-5.61604663739105
1850,40.7061677845778,5.35287551670208,413607.685367873,-3402.46942002472,5609.77534308061,3344.30367691236,-5.70120204173256,-0.114669976118193,-5.63744569784181
1855,40.8917924308163,5.68184869753636,413656.47332892,-3430.92125152231,5609.1233434599,3316.0633270381,-5.67950647064489,-0.14613297030118,-5.65866403450258
1860,41.0763449771458,6.01277267160828,413705.171764315,-3459.26421311067,5608.31400249776,3287.71733871344,-5.65765419356534,-0.177606377293493,-5.67970096478446
1865,41.2598126112407,6.34565983973989,413753.773563986,-3487.49753945541,5607.34726008748,3259.26662066803,-5.6356459085396,-0.209089336692951,-5.70055581038748
1870,41.4421824101053,6.68052188797813,413802.271646878,-3515.620419374,5606.22309113783,3230.71208501007,-5.61348232181635,-0.240580931489591,-5.72122789839321
1875,41.6234413407637,7.01737078503414,413850.658962608,-3543.63209458708,5604.94144446285,3202.05464719653,-5.59116414505581,-0.272080287976689,-5.7417165623697
1880,41.8035762610386,7.35621826656043,413898.928493058,-3571.53181038048,5603.50227301345,3173.2952259981,-5.56869209702909,-0.303586526466287,-5.76202114344238
1885,41.9825739204215,7.69707531917054,413947.073253886,-3599.31876633315,5601.9055655868,3144.43474345891,-5.54606690677037,-0.335098713342127,-5.78214099128518
1890,42.160420961041,8.03995317707402,413995.086295938,-3626.99221500873,5600.15128422265,3115.47412485144,-5.52328930850074,-0.366615960281588,-5.80207546499227
1895,42.3371039187273,8.38486280555897,414042.960706582,-3654.55141264445,5598.23939516678,3086.41429862764,-5.50036004352471,-0.398137375917496,-5.82182393379142
1900,42.512609224178,8.73181438423818,414090.689610877,-3681.99556992921,5596.1699012918,3057.25619636689,-5.47727986359834,-0.429662018733299,-5.84138577757004
1905,42.6869232042307,9.08081830288583,414138.266172675,-3709.32395060048,5593.94277801397,3028.00075272171,-5.45404952361889,-0.461188995185906,-5.86076038719334
1910,42.8600320832407,9.43188464415551,414185.683595557,-3736.53582216474,5591.55800497631,2998.64890536265,-5.43066978385747,-0.492717411925905,-5.87994716459892
1915,43.0319219845692,9.78502266605351,414232.935123679,-3763.63040672818,5589.01559917275,2969.20159492312,-5.40714141376049,-0.524246329144477,-5.89894552266564
1920,43.2025789321877,10.1402417970319,414280.014042525,-3790.6069794698,5586.31554940325,2939.65976494545,-5.38346518268892,-0.555774857192417,-5.91775488486342
1925,43.3719888523965,10.4975509498619,414326.913679561,-3817.46480301816,5583.457859872,2910.02436182925,-5.35964186454845,-0.587302093295204,-5.93637468469731
1930,43.5401375756647,10.8569588438711,414373.627404836,-3844.20316025016,5580.44252801028,2880.29633478304,-5.33567223378368,-0.618827153687173,-5.95480436497132
1935,43.7070108385912,11.2184733183584,414420.148631526,-3870.82128880268,5577.26958949411,2850.47663577989,-5.31155707178965,-0.650349111209741,-5.97304337690271
1940,43.8725942859956,11.5821023267468,414466.470816483,-3897.31847933848,5573.93905079116,2820.56621951781,-5.28729715565726,-0.681867089544336,-5.99109117912506
1945,44.0368734731348,11.9478534176754,414512.58746075,-3923.69402637819,5570.45092250806,2790.56604338527,-5.26289326257615,-0.713380215732738,-6.00894723662166
1950,44.1998338680531,12.3157332158616,414558.492110155,-3949.94717929986,5566.80525414252,2760.47706743231,-5.23834617607893,-0.744887573799153,-6.02661101963492
1955,44.3614608540695,12.6857484156499,414604.178355889,-3976.07724042792,5563.00206522992,2730.30025434678,-5.2136566736425,-0.776388297192361,-6.04408200259765
1960,44.5217397324016,13.0579052615185,414649.639835212,-4002.08351594165,5559.0413794016,2700.036569436,-5.18882553249374,-0.807881521485379,-6.06135966313108
1965,44.6806557249308,13.4322090283834,414694.870232191,-4027.96526697822,5554.92325983155,2669.68698061314,-5.16385353727816,-0.839366338276758,-6.07844348115116
